date,feature_index,avg(band_0),stddev_samp(band_0)
2019-12-01T00:00:00.000Z,0,0.41065620051489937,0.12686584824217062
2020-01-11T00:00:00.000Z,0,0.5123682392968072,0.053351077850812736
2019-10-21T00:00:00.000Z,0,0.38131262726253934,0.13473361345238188
2019-09-21T00:00:00.000Z,0,0.25922422541512385,0.1041635876386561
2018-11-01T00:00:00.000Z,0,,
2018-11-11T00:00:00.000Z,0,0.578957333167394,0.041247458776134886
2019-05-01T00:00:00.000Z,0,0.3131050450934304,0.13255989544013252
2019-03-11T00:00:00.000Z,0,0.45455497569508024,0.04964179183935372
2019-02-21T00:00:00.000Z,0,0.43780330883132085,0.04532108389419265
2019-10-11T00:00:00.000Z,0,0.3406164917680952,0.12366877483766604
2019-10-01T00:00:00.000Z,0,0.2999203595850203,0.1134001860119147
2019-06-01T00:00:00.000Z,0,0.4793187446064419,0.08281119917808095
2019-01-21T00:00:00.000Z,0,0.4996457709206475,0.06837715567841418
2019-07-11T00:00:00.000Z,0,0.7630754378106859,0.08971512390236386
2019-04-21T00:00:00.000Z,0,0.3017719543642468,0.10381279239272154
2018-12-21T00:00:00.000Z,0,0.47687462237146166,0.07011683522123217
2019-06-21T00:00:00.000Z,0,0.8428468929396735,0.07636746398632405
2020-01-01T00:00:00.000Z,0,0.4513196461730533,0.07800069993640431
2019-08-11T00:00:00.000Z,0,0.492356581820382,0.05114283988581542
2019-08-01T00:00:00.000Z,0,0.5937936623891195,0.05265694826402152
2018-12-11T00:00:00.000Z,0,0.47542546921306184,0.06442081444488167
2020-01-21T00:00:00.000Z,0,0.5262439284059737,0.04420836972847392
2019-12-11T00:00:00.000Z,0,0.42358333733346726,0.10605431749210273
2019-09-01T00:00:00.000Z,0,0.31801860928535464,0.08505906733178431
2019-01-11T00:00:00.000Z,0,0.5090836783250173,0.0621823266366596
2019-11-11T00:00:00.000Z,0,0.43523402081595525,0.13601864596011304
2019-03-01T00:00:00.000Z,0,0.4461791429254744,0.046210401130058795
2019-09-11T00:00:00.000Z,0,0.2886214160256916,0.09290877564768825
2019-07-21T00:00:00.000Z,0,0.6952307396464877,0.09108075946027613
2019-04-11T00:00:00.000Z,0,0.3567985951900482,0.08706176400509749
2019-02-01T00:00:00.000Z,0,0.4727663411034478,0.06465280112180057
2019-11-01T00:00:00.000Z,0,0.4126430922084384,0.13265840109620838
2019-11-21T00:00:00.000Z,0,0.41350359055731034,0.10227979675190756
2019-08-21T00:00:00.000Z,0,0.34741580022705926,0.08160309379583931
2019-05-21T00:00:00.000Z,0,0.2975546727577845,0.13576804998536668
2019-06-11T00:00:00.000Z,0,0.6610828147994148,0.05154969032202166
2019-02-11T00:00:00.000Z,0,0.4458869106239743,0.064198913717141
2019-03-21T00:00:00.000Z,0,0.4629308084646861,0.05514269620493837
2019-04-01T00:00:00.000Z,0,0.3577096687422858,0.10902538210316329
2019-01-01T00:00:00.000Z,0,0.492979148361418,0.0645610323737762
2019-07-01T00:00:00.000Z,0,0.8309201306766933,0.09090311017614054
2018-12-01T00:00:00.000Z,0,0.5099360922972361,0.05318508250381754
2019-05-11T00:00:00.000Z,0,0.3244381354914771,0.16490754998758805
2018-11-21T00:00:00.000Z,0,0.5444467114077673,0.044860042220288075
2019-12-21T00:00:00.000Z,0,0.436510478787952,0.08814307256740668
